Date;RUONIA
11.01.2010;2.98
12.01.2010;3.1
13.01.2010;3.4
14.01.2010;3.59
15.01.2010;4.21
18.01.2010;3.36
19.01.2010;3.39
20.01.2010;4.1
21.01.2010;4.02
22.01.2010;5.41
25.01.2010;4.98
26.01.2010;4.39
27.01.2010;4.39
28.01.2010;4.3
29.01.2010;3.99
01.02.2010;3.5
02.02.2010;3.71
03.02.2010;3.58
04.02.2010;3.31
05.02.2010;3.46
08.02.2010;3.87
09.02.2010;3.54
10.02.2010;3.66
11.02.2010;3.57
12.02.2010;3.42
15.02.2010;4.14
16.02.2010;3.86
17.02.2010;3.84
18.02.2010;4.11
19.02.2010;3.61
24.02.2010;3.41
25.02.2010;4.59
26.02.2010;3.54
27.02.2010;2.6
01.03.2010;3.32
02.03.2010;3.01
03.03.2010;3.34
04.03.2010;3.53
05.03.2010;3.61
09.03.2010;3.39
10.03.2010;3.12
11.03.2010;2.98
12.03.2010;2.85
15.03.2010;3.73
16.03.2010;3.68
17.03.2010;3.47
18.03.2010;3.43
19.03.2010;2.91
22.03.2010;3.11
23.03.2010;3.14
24.03.2010;3.35
25.03.2010;4.58
26.03.2010;3.91
29.03.2010;3.81
30.03.2010;4.52
31.03.2010;3.13
01.04.2010;3.24
02.04.2010;3.27
05.04.2010;3.1
06.04.2010;3.03
07.04.2010;3
08.04.2010;2.9
09.04.2010;2.95
12.04.2010;3.05
13.04.2010;3.09
14.04.2010;3.16
15.04.2010;3.81
16.04.2010;3.46
19.04.2010;2.9
20.04.2010;3.42
21.04.2010;3.31
22.04.2010;3.3
23.04.2010;2.84
26.04.2010;3.36
27.04.2010;3.2
28.04.2010;3.64
29.04.2010;3.96
30.04.2010;2.91
04.05.2010;2.84
05.05.2010;2.82
06.05.2010;2.85
07.05.2010;2.35
11.05.2010;2.83
12.05.2010;2.27
13.05.2010;2.42
14.05.2010;2.49
17.05.2010;3.06
18.05.2010;2.6
19.05.2010;2.74
20.05.2010;2.7
21.05.2010;2.44
24.05.2010;2.57
25.05.2010;2.54
26.05.2010;2.59
27.05.2010;2.63
28.05.2010;2.75
31.05.2010;2.81
01.06.2010;2.04
02.06.2010;2.34
03.06.2010;2.26
04.06.2010;2.38
07.06.2010;2.6
08.06.2010;2.29
09.06.2010;2.51
10.06.2010;2.41
11.06.2010;2.47
15.06.2010;2.45
16.06.2010;2.52
17.06.2010;2.2
18.06.2010;2.52
21.06.2010;2.57
22.06.2010;2.33
23.06.2010;2.18
24.06.2010;2.25
25.06.2010;2.64
28.06.2010;3.29
29.06.2010;2.6
30.06.2010;2.23
01.07.2010;2.01
02.07.2010;2.41
05.07.2010;2.52
06.07.2010;2.58
07.07.2010;2.45
08.07.2010;2.45
09.07.2010;2.33
12.07.2010;2.49
13.07.2010;2.42
14.07.2010;2.48
15.07.2010;2.48
16.07.2010;2.62
19.07.2010;2.61
20.07.2010;2.66
21.07.2010;2.65
22.07.2010;2.18
23.07.2010;2.63
26.07.2010;3.17
27.07.2010;2.96
28.07.2010;3.4
29.07.2010;2.84
30.07.2010;2.65
02.08.2010;2.22
03.08.2010;2.62
04.08.2010;2.38
05.08.2010;2.38
06.08.2010;2.65
09.08.2010;2.55
10.08.2010;2.59
11.08.2010;2.65
12.08.2010;2.37
13.08.2010;2.68
16.08.2010;2.68
17.08.2010;2.56
18.08.2010;2.44
19.08.2010;2.25
20.08.2010;2.59
23.08.2010;2.52
24.08.2010;2.55
25.08.2010;2.69
26.08.2010;2.46
27.08.2010;2.67
30.08.2010;2.79
31.08.2010;2.59
01.09.2010;2.33
02.09.2010;2.28
03.09.2010;2.42
06.09.2010;2.5
07.09.2010;2.42
08.09.2010;2.34
09.09.2010;2.06
10.09.2010;2.57
13.09.2010;2.79
14.09.2010;2.64
15.09.2010;2.71
16.09.2010;2.35
17.09.2010;2.49
20.09.2010;2.61
21.09.2010;2.45
22.09.2010;2.49
23.09.2010;2.57
24.09.2010;2.67
27.09.2010;2.94
28.09.2010;2.87
29.09.2010;2.79
30.09.2010;2.61
01.10.2010;2.28
04.10.2010;2.41
05.10.2010;2.47
06.10.2010;2.38
07.10.2010;2.29
08.10.2010;2.43
11.10.2010;2.51
12.10.2010;2.52
13.10.2010;2.58
14.10.2010;2.45
15.10.2010;2.53
18.10.2010;2.63
19.10.2010;2.54
20.10.2010;2.72
21.10.2010;2.76
22.10.2010;2.78
25.10.2010;3.12
26.10.2010;3.16
27.10.2010;2.99
28.10.2010;2.96
29.10.2010;3.06
01.11.2010;2.9
02.11.2010;2.8
03.11.2010;2.77
08.11.2010;2.8
09.11.2010;2.63
10.11.2010;2.7
11.11.2010;2.68
12.11.2010;2.67
13.11.2010;2.59
15.11.2010;2.74
16.11.2010;2.69
17.11.2010;2.64
18.11.2010;2.69
19.11.2010;2.88
22.11.2010;3.42
23.11.2010;3
24.11.2010;2.9
25.11.2010;3.28
26.11.2010;3.14
29.11.2010;4.27
30.11.2010;4.43
01.12.2010;3.13
02.12.2010;2.78
03.12.2010;2.78
06.12.2010;2.85
07.12.2010;2.84
08.12.2010;2.82
09.12.2010;2.61
10.12.2010;2.7
13.12.2010;2.73
14.12.2010;3.05
15.12.2010;2.92
16.12.2010;2.56
17.12.2010;2.46
20.12.2010;2.73
21.12.2010;2.62
22.12.2010;2.77
23.12.2010;2.76
24.12.2010;2.94
27.12.2010;3.94
28.12.2010;3.3
29.12.2010;2.74
30.12.2010;2.9
31.12.2010;0.42
11.01.2011;2.44
12.01.2011;2.53
13.01.2011;2.52
14.01.2011;2.5
17.01.2011;2.68
18.01.2011;2.69
19.01.2011;2.39
20.01.2011;2.75
21.01.2011;2.6
24.01.2011;2.82
25.01.2011;2.66
26.01.2011;2.71
27.01.2011;2.65
28.01.2011;2.87
31.01.2011;2.77
01.02.2011;2.35
02.02.2011;2.59
03.02.2011;2.77
04.02.2011;2.56
07.02.2011;2.52
08.02.2011;2.64
09.02.2011;2.53
10.02.2011;2.72
11.02.2011;2.73
14.02.2011;2.9
15.02.2011;2.93
16.02.2011;2.87
17.02.2011;2.72
18.02.2011;2.73
21.02.2011;2.85
22.02.2011;2.73
24.02.2011;2.75
25.02.2011;2.93
28.02.2011;3.27
01.03.2011;3.14
02.03.2011;3.1
03.03.2011;3.07
04.03.2011;2.72
05.03.2011;2.69
09.03.2011;3.1
10.03.2011;3.1
11.03.2011;2.96
14.03.2011;3.09
15.03.2011;3.01
16.03.2011;3.02
17.03.2011;3.06
18.03.2011;2.88
21.03.2011;3.09
22.03.2011;3.08
23.03.2011;2.91
24.03.2011;3.02
25.03.2011;3.05
28.03.2011;3.11
29.03.2011;3.09
30.03.2011;3.09
31.03.2011;3.01
01.04.2011;2.96
04.04.2011;3.06
05.04.2011;2.89
06.04.2011;3.03
07.04.2011;2.99
08.04.2011;2.52
11.04.2011;3
12.04.2011;3.03
13.04.2011;3.02
14.04.2011;3.03
15.04.2011;3.01
18.04.2011;3.08
19.04.2011;3.08
20.04.2011;3.11
21.04.2011;3.12
22.04.2011;3.12
25.04.2011;3.25
26.04.2011;3.32
27.04.2011;3.32
28.04.2011;3.88
29.04.2011;4.61
03.05.2011;4.59
04.05.2011;3.78
05.05.2011;3.38
06.05.2011;3.34
10.05.2011;3.36
11.05.2011;3.36
12.05.2011;3.35
13.05.2011;3.32
16.05.2011;3.38
17.05.2011;3.37
18.05.2011;3.38
19.05.2011;3.47
20.05.2011;3.71
23.05.2011;3.52
24.05.2011;3.49
25.05.2011;3.68
26.05.2011;3.93
27.05.2011;4.75
30.05.2011;4.25
31.05.2011;4.04
01.06.2011;3.69
02.06.2011;3.64
03.06.2011;3.59
06.06.2011;3.6
07.06.2011;3.62
08.06.2011;3.6
09.06.2011;3.61
10.06.2011;3.62
14.06.2011;3.64
15.06.2011;3.64
16.06.2011;3.68
17.06.2011;3.62
20.06.2011;3.66
21.06.2011;3.66
22.06.2011;3.63
23.06.2011;3.64
24.06.2011;3.62
27.06.2011;3.7
28.06.2011;3.76
29.06.2011;3.72
30.06.2011;3.75
01.07.2011;3.7
04.07.2011;3.71
05.07.2011;3.69
06.07.2011;3.54
07.07.2011;3.61
08.07.2011;3.5
11.07.2011;3.63
12.07.2011;3.62
13.07.2011;3.66
14.07.2011;3.64
15.07.2011;3.65
18.07.2011;3.66
19.07.2011;3.69
20.07.2011;3.7
21.07.2011;3.73
22.07.2011;3.74
25.07.2011;3.98
26.07.2011;4.02
27.07.2011;4.33
28.07.2011;4.65
29.07.2011;4.79
01.08.2011;4.19
02.08.2011;3.96
03.08.2011;3.81
04.08.2011;3.75
05.08.2011;3.72
08.08.2011;3.69
09.08.2011;3.75
10.08.2011;3.67
11.08.2011;3.68
12.08.2011;3.7
15.08.2011;3.72
16.08.2011;3.73
17.08.2011;3.66
18.08.2011;3.67
19.08.2011;3.71
22.08.2011;3.73
23.08.2011;3.71
24.08.2011;3.72
25.08.2011;3.85
26.08.2011;4.12
29.08.2011;4.76
30.08.2011;4.71
31.08.2011;3.86
01.09.2011;3.75
02.09.2011;3.73
05.09.2011;3.72
06.09.2011;3.68
07.09.2011;3.62
08.09.2011;3.61
09.09.2011;3.61
12.09.2011;3.94
13.09.2011;4
14.09.2011;4.09
15.09.2011;4.89
16.09.2011;4.68
19.09.2011;5.03
20.09.2011;4.69
21.09.2011;4.36
22.09.2011;4.71
23.09.2011;4.59
26.09.2011;4.98
27.09.2011;5.17
28.09.2011;5.04
29.09.2011;4.88
30.09.2011;5.17
03.10.2011;4.7
04.10.2011;4.32
05.10.2011;4.15
06.10.2011;4.07
07.10.2011;4.03
10.10.2011;4.46
11.10.2011;5.39
12.10.2011;4.75
13.10.2011;4.75
14.10.2011;4.94
17.10.2011;4.99
18.10.2011;5.04
19.10.2011;4.95
20.10.2011;5.14
21.10.2011;4.98
24.10.2011;5.24
25.10.2011;5.61
26.10.2011;5.21
27.10.2011;4.92
28.10.2011;5.14
31.10.2011;5.52
01.11.2011;4.93
02.11.2011;4.65
03.11.2011;4.62
07.11.2011;4.8
08.11.2011;4.88
09.11.2011;4.64
10.11.2011;5.09
11.11.2011;5.03
14.11.2011;5.09
15.11.2011;5.01
16.11.2011;4.83
17.11.2011;4.87
18.11.2011;4.7
21.11.2011;4.85
22.11.2011;4.81
23.11.2011;4.87
24.11.2011;5.04
25.11.2011;5.39
28.11.2011;5.36
29.11.2011;5.56
30.11.2011;5.25
01.12.2011;5.01
02.12.2011;4.96
05.12.2011;4.97
06.12.2011;5.18
07.12.2011;5.28
08.12.2011;5.3
09.12.2011;4.6
12.12.2011;5.56
13.12.2011;5.81
14.12.2011;4.95
15.12.2011;5.26
16.12.2011;4.91
19.12.2011;4.92
20.12.2011;6.03
21.12.2011;5.96
22.12.2011;5.69
23.12.2011;5.63
26.12.2011;5.91
27.12.2011;5.72
28.12.2011;5.47
29.12.2011;4.86
10.01.2012;4.52
11.01.2012;4.43
12.01.2012;4.41
13.01.2012;4.4
16.01.2012;4.44
17.01.2012;4.5
18.01.2012;4.49
19.01.2012;4.49
20.01.2012;4.55
23.01.2012;4.6
24.01.2012;5.02
25.01.2012;5.52
26.01.2012;5.63
27.01.2012;5.58
30.01.2012;5.52
31.01.2012;4.64
01.02.2012;4.45
02.02.2012;4.28
03.02.2012;4.23
06.02.2012;4.22
07.02.2012;4.2
08.02.2012;4.12
09.02.2012;4.19
10.02.2012;4.23
13.02.2012;4.27
14.02.2012;4.27
15.02.2012;4.28
16.02.2012;4.26
17.02.2012;4.26
20.02.2012;4.41
21.02.2012;4.27
22.02.2012;4.26
24.02.2012;4.24
27.02.2012;4.44
28.02.2012;5.11
29.02.2012;5.18
01.03.2012;4.68
02.03.2012;4.4
05.03.2012;4.46
06.03.2012;4.5
07.03.2012;4.49
11.03.2012;4.64
12.03.2012;5.06
13.03.2012;4.89
14.03.2012;4.76
15.03.2012;4.9
16.03.2012;5.04
19.03.2012;5.2
20.03.2012;5.33
21.03.2012;5.17
22.03.2012;4.94
23.03.2012;4.99
26.03.2012;5.95
27.03.2012;5.48
28.03.2012;5.7
29.03.2012;5.69
30.03.2012;5.48
02.04.2012;5.69
03.04.2012;4.98
04.04.2012;4.62
05.04.2012;4.47
06.04.2012;4.48
09.04.2012;4.37
10.04.2012;4.63
11.04.2012;4.9
12.04.2012;5.44
13.04.2012;5.28
16.04.2012;5.24
17.04.2012;5.35
18.04.2012;5.08
19.04.2012;5.25
20.04.2012;5.32
23.04.2012;5.43
24.04.2012;5.64
25.04.2012;5.71
26.04.2012;6.09
27.04.2012;6.17
28.04.2012;6
02.05.2012;5.85
03.05.2012;5.62
04.05.2012;5.24
05.05.2012;5.07
10.05.2012;5.96
11.05.2012;5.72
12.05.2012;5.22
14.05.2012;5.31
15.05.2012;5.28
16.05.2012;5.5
17.05.2012;5.79
18.05.2012;5.77
21.05.2012;5.77
22.05.2012;5.35
23.05.2012;5.12
24.05.2012;5.79
25.05.2012;6.34
28.05.2012;6.03
29.05.2012;6.4
30.05.2012;6.39
31.05.2012;6.22
01.06.2012;4.96
04.06.2012;4.92
05.06.2012;5.15
06.06.2012;5.28
07.06.2012;6.27
08.06.2012;5.4
09.06.2012;5.15
13.06.2012;6.17
14.06.2012;6.66
15.06.2012;5.61
18.06.2012;5.1
19.06.2012;5.38
20.06.2012;5.58
21.06.2012;5.33
22.06.2012;5.87
25.06.2012;5.72
26.06.2012;6.18
27.06.2012;6.1
28.06.2012;6.13
29.06.2012;6.11
02.07.2012;5.54
03.07.2012;4.91
04.07.2012;5.04
05.07.2012;5.24
06.07.2012;5.28
09.07.2012;5.74
10.07.2012;5.29
11.07.2012;5.43
12.07.2012;5.92
13.07.2012;5.57
16.07.2012;5.44
17.07.2012;5.53
18.07.2012;5.43
19.07.2012;5.16
20.07.2012;5.22
23.07.2012;5.63
24.07.2012;5.71
25.07.2012;5.99
26.07.2012;6.01
27.07.2012;5.63
30.07.2012;5.86
31.07.2012;6.13
01.08.2012;5.09
02.08.2012;5.53
03.08.2012;5.31
06.08.2012;5.36
07.08.2012;5.64
08.08.2012;5.1
09.08.2012;4.46
10.08.2012;5.52
13.08.2012;5.93
14.08.2012;5.7
15.08.2012;5.38
16.08.2012;5.05
17.08.2012;4.87
20.08.2012;5.53
21.08.2012;5.54
22.08.2012;4.96
23.08.2012;4.6
24.08.2012;4.77
27.08.2012;5.81
28.08.2012;5.43
29.08.2012;5.18
30.08.2012;5.24
31.08.2012;4.68
03.09.2012;4.54
04.09.2012;4.48
05.09.2012;5.08
06.09.2012;5.12
07.09.2012;4.71
10.09.2012;5.6
11.09.2012;5.12
12.09.2012;5.04
13.09.2012;5.25
14.09.2012;5.62
17.09.2012;5.77
18.09.2012;5.7
19.09.2012;5.3
20.09.2012;5.52
21.09.2012;5.52
24.09.2012;6.06
25.09.2012;6.45
26.09.2012;6.03
27.09.2012;6.07
28.09.2012;6.22
01.10.2012;5.97
02.10.2012;5.67
03.10.2012;5.54
04.10.2012;5.82
05.10.2012;5.54
08.10.2012;5.83
09.10.2012;5.93
10.10.2012;6.17
11.10.2012;6.33
12.10.2012;6.05
15.10.2012;6.22
16.10.2012;6.19
17.10.2012;5.8
18.10.2012;5.71
19.10.2012;5.7
22.10.2012;5.91
23.10.2012;6.13
24.10.2012;6.16
25.10.2012;6.42
26.10.2012;6.23
29.10.2012;6.37
30.10.2012;6.37
31.10.2012;6.46
01.11.2012;6.28
02.11.2012;5.86
06.11.2012;6.06
07.11.2012;5.82
08.11.2012;5.27
09.11.2012;5.59
12.11.2012;5.94
13.11.2012;6.11
14.11.2012;6.44
15.11.2012;6.28
16.11.2012;6.1
19.11.2012;6.03
20.11.2012;6.01
21.11.2012;5.86
22.11.2012;5.9
23.11.2012;5.94
26.11.2012;6.3
27.11.2012;6.42
28.11.2012;6.5
29.11.2012;6.19
30.11.2012;6.47
03.12.2012;6.41
04.12.2012;6.36
05.12.2012;6.34
06.12.2012;5.96
07.12.2012;5.89
10.12.2012;6.29
11.12.2012;6.37
12.12.2012;6.09
13.12.2012;6.15
14.12.2012;6.45
17.12.2012;6.28
18.12.2012;6.47
19.12.2012;6.39
20.12.2012;6.39
21.12.2012;6.27
24.12.2012;6.09
25.12.2012;5.93
26.12.2012;6.15
27.12.2012;6.24
28.12.2012;5.33
09.01.2013;5.69
