Date;Last
05/01/2000;173
06/01/2000;186.26
10/01/2000;200.81
11/01/2000;199.57
12/01/2000;196.88
13/01/2000;210.05
14/01/2000;217.28
17/01/2000;219.73
18/01/2000;212.88
19/01/2000;200.66
20/01/2000;206.61
21/01/2000;215.77
24/01/2000;210.82
25/01/2000;198.65
26/01/2000;198.8
27/01/2000;203.82
28/01/2000;201.81
31/01/2000;188.81
01/02/2000;191.59
02/02/2000;186.67
03/02/2000;189.67
04/02/2000;196.08
07/02/2000;200.28
08/02/2000;204.87
09/02/2000;216.53
10/02/2000;210.25
11/02/2000;210.91
14/02/2000;214.12
15/02/2000;203.2
16/02/2000;202.7
17/02/2000;201.51
18/02/2000;200.6
21/02/2000;195.3
22/02/2000;199.57
23/02/2000;202.68
24/02/2000;207.16
25/02/2000;198.56
28/02/2000;191.12
29/02/2000;191.49
01/03/2000;198.99
02/03/2000;201.49
03/03/2000;205.49
06/03/2000;210.98
07/03/2000;211.95
09/03/2000;232.16
10/03/2000;241.53
13/03/2000;239.8
14/03/2000;245.92
15/03/2000;246.46
16/03/2000;247.66
17/03/2000;249.94
20/03/2000;243.86
21/03/2000;240.17
22/03/2000;245.8
23/03/2000;260.16
24/03/2000;268.86
27/03/2000;277.82
28/03/2000;261.86
29/03/2000;256.89
30/03/2000;252.08
31/03/2000;254.68
03/04/2000;257.3
04/04/2000;258.02
05/04/2000;245.7
06/04/2000;249.43
07/04/2000;247.96
10/04/2000;253.28
11/04/2000;249.68
12/04/2000;248.1
13/04/2000;243.73
14/04/2000;245.87
17/04/2000;226.04
18/04/2000;227.98
19/04/2000;226.21
20/04/2000;226.64
21/04/2000;230.45
24/04/2000;225.28
25/04/2000;227.77
26/04/2000;237.01
27/04/2000;238.62
28/04/2000;242.85
03/05/2000;244.88
04/05/2000;250.26
05/05/2000;249.96
06/05/2000;254.45
10/05/2000;251.34
11/05/2000;244.7
12/05/2000;241.3
15/05/2000;236.26
16/05/2000;239.9
17/05/2000;235.77
18/05/2000;228.2
19/05/2000;218.3
22/05/2000;210.69
23/05/2000;201.9
24/05/2000;190.54
25/05/2000;204.83
26/05/2000;209.3
29/05/2000;213.67
30/05/2000;213.45
31/05/2000;217.05
01/06/2000;221.1
02/06/2000;224.94
05/06/2000;233.28
06/06/2000;227.57
07/06/2000;218.56
08/06/2000;228.73
09/06/2000;228.35
13/06/2000;226.09
14/06/2000;218.98
15/06/2000;221.31
16/06/2000;223.08
19/06/2000;218.95
20/06/2000;215.06
21/06/2000;204.15
22/06/2000;206.09
23/06/2000;207.97
26/06/2000;206.52
27/06/2000;200.65
28/06/2000;195.81
29/06/2000;189.57
30/06/2000;194.93
03/07/2000;199.13
04/07/2000;193.69
05/07/2000;188.68
06/07/2000;188.37
07/07/2000;199.23
10/07/2000;199.45
11/07/2000;189.24
12/07/2000;193.36
13/07/2000;198.36
14/07/2000;194.18
17/07/2000;197.96
18/07/2000;194.99
19/07/2000;194.99
20/07/2000;194.77
21/07/2000;197.04
24/07/2000;195.15
25/07/2000;194.36
26/07/2000;192.65
27/07/2000;191.84
28/07/2000;197.62
31/07/2000;200.22
01/08/2000;209.47
02/08/2000;210.74
03/08/2000;215.09
04/08/2000;218.04
07/08/2000;221.28
08/08/2000;218.81
09/08/2000;224.54
10/08/2000;225.54
11/08/2000;229.14
14/08/2000;234.17
15/08/2000;235
16/08/2000;234.2
17/08/2000;230.36
18/08/2000;229.86
21/08/2000;225.48
22/08/2000;229.88
23/08/2000;231.26
24/08/2000;235.29
25/08/2000;242.84
28/08/2000;239.93
29/08/2000;245.37
30/08/2000;243.05
31/08/2000;239.03
01/09/2000;237.54
04/09/2000;236.19
05/09/2000;241.56
06/09/2000;241.43
07/09/2000;238.66
08/09/2000;231.59
11/09/2000;224.31
12/09/2000;225.59
13/09/2000;221.29
14/09/2000;214.78
15/09/2000;215.47
18/09/2000;203.04
19/09/2000;200.25
20/09/2000;202.17
21/09/2000;199.23
22/09/2000;189.84
25/09/2000;198.65
26/09/2000;200.66
27/09/2000;204
28/09/2000;203.05
29/09/2000;204.61
02/10/2000;207.61
03/10/2000;214.46
04/10/2000;211.19
05/10/2000;206.02
06/10/2000;201.5
09/10/2000;198.33
10/10/2000;200.48
11/10/2000;193.08
12/10/2000;192.64
13/10/2000;190.37
16/10/2000;201.21
17/10/2000;201.27
18/10/2000;194.67
19/10/2000;197.22
20/10/2000;204.73
23/10/2000;203.06
24/10/2000;202.32
25/10/2000;197.29
26/10/2000;194.05
27/10/2000;195.11
30/10/2000;192.61
31/10/2000;192.22
01/11/2000;199.6
02/11/2000;196.56
03/11/2000;196.4
04/11/2000;191.07
08/11/2000;184.73
09/11/2000;178.52
10/11/2000;178.67
13/11/2000;174.47
14/11/2000;179.42
15/11/2000;178.88
16/11/2000;176.77
17/11/2000;178.67
20/11/2000;174.8
21/11/2000;173.06
22/11/2000;166.01
23/11/2000;165.26
24/11/2000;167
27/11/2000;171.25
28/11/2000;165.1
29/11/2000;160.91
30/11/2000;149.84
01/12/2000;142.47
04/12/2000;141.71
05/12/2000;151.94
06/12/2000;161.25
07/12/2000;153.39
08/12/2000;157.84
09/12/2000;157.76
13/12/2000;159.79
14/12/2000;151.39
15/12/2000;138.65
18/12/2000;139.34
19/12/2000;139.13
20/12/2000;135.21
21/12/2000;130.96
22/12/2000;136.13
25/12/2000;141.51
26/12/2000;142.21
27/12/2000;142.16
28/12/2000;144.39
03/01/2001;135.73
04/01/2001;145.36
05/01/2001;148.96
09/01/2001;150.89
10/01/2001;159.29
11/01/2001;160.03
12/01/2001;163.12
15/01/2001;163.21
16/01/2001;165.7
17/01/2001;169.76
18/01/2001;171.6
19/01/2001;174.9
22/01/2001;166.03
23/01/2001;168.59
24/01/2001;174.97
25/01/2001;176.92
26/01/2001;176.56
29/01/2001;169.95
30/01/2001;167.88
31/01/2001;167.74
01/02/2001;165.61
02/02/2001;165.35
05/02/2001;162.21
06/02/2001;165.28
07/02/2001;163.87
